catboost_weight,xgboost_weight,tabm_weight,validation_pr_auc,validation_roc_auc
0.15000000000000002,0.7,0.15000000000000002,0.1753511967540955,0.6556090126154581
0.0,0.7000000000000001,0.29999999999999993,0.17534358629372573,0.6534028377129356
0.4,0.49999999999999994,0.10000000000000003,0.17532744524245603,0.6572072154788793
0.35000000000000003,0.6,0.04999999999999993,0.17532296687219656,0.6570716345006151
0.2,0.7000000000000001,0.09999999999999998,0.17531605124540944,0.6560910443101897
0.30000000000000004,0.6,0.09999999999999998,0.17531015605931896,0.6567565541007889
0.05,0.5499999999999999,0.4,0.1753100139016571,0.6526970821014746
0.0,0.65,0.35,0.17529567479364813,0.6528542397365507
0.5,0.4,0.09999999999999998,0.17528911300663005,0.6574220638913884
0.30000000000000004,0.35,0.35,0.17527831839896146,0.6547649215589058
0.4,0.3,0.3,0.17527049951511214,0.6556229379755281
0.4,0.5499999999999999,0.050000000000000044,0.17526726178533844,0.6572852587056455
0.45,0.5,0.050000000000000044,0.1752482318176288,0.6574330817586964
0.1,0.7000000000000001,0.19999999999999996,0.17524756564050648,0.6550057843803367
0.15000000000000002,0.7999999999999999,0.050000000000000044,0.17523332622606488,0.6557026644875774
0.05,0.7,0.25,0.17522115041622044,0.6542818186826304
0.45,0.45,0.10000000000000003,0.1752177860462458,0.6573305543823568
0.2,0.8,0.0,0.17521614728291685,0.6559314382601563
0.5,0.45,0.04999999999999999,0.17517918905540059,0.6575519829100637
0.45,0.30000000000000004,0.25,0.17517573938463835,0.656299006555631
0.30000000000000004,0.6499999999999999,0.050000000000000044,0.17512878370268073,0.6567727748498815
0.45,0.55,0.0,0.17509648460227067,0.6574104339203408
0.55,0.35,0.09999999999999998,0.17505107028007783,0.6575343849275574
0.4,0.6,0.0,0.17504425908127239,0.6571928310410049
0.25,0.7000000000000001,0.04999999999999993,0.1750002958247797,0.6564335163523514
0.1,0.45,0.45,0.17499369726946581,0.6523158944977995
0.0,0.55,0.44999999999999996,0.17497315322207804,0.6516130463791003
0.35000000000000003,0.6499999999999999,0.0,0.17490169551950646,0.6569383489113736
0.1,0.8,0.09999999999999998,0.17490037011904147,0.6552497077204644
0.55,0.39999999999999997,0.04999999999999999,0.17488127378392468,0.6576378304595063
0.5,0.5,0.0,0.17486225874422576,0.6575582569733919
0.15000000000000002,0.85,0.0,0.17486029036064538,0.6555314284664965
0.05,0.49999999999999994,0.45,0.17485507467036696,0.6519922446456226
0.1,0.75,0.15000000000000002,0.17483760147254104,0.6551724296233726
0.0,0.75,0.25,0.17478872458586503,0.6537687227231271
0.30000000000000004,0.7,0.0,0.17478766999577441,0.656619748915046
0.05,0.7499999999999999,0.20000000000000007,0.17475561389720562,0.6545766996590583
0.1,0.8500000000000001,0.04999999999999993,0.17471379708427184,0.6552414443199833
0.2,0.4,0.4,0.174706159881816,0.6535961094686328
0.55,0.44999999999999996,0.0,0.1745838856775174,0.6576104388171709
0.25,0.75,0.0,0.17455487012985266,0.6563173696678112
0.35000000000000003,0.3,0.3499999999999999,0.17453414592361455,0.654892086110754
0.25,0.35000000000000003,0.39999999999999997,0.1745330412290645,0.6538259544227555
0.55,0.24999999999999997,0.19999999999999998,0.1745142815513816,0.6568775976152438
0.4,0.24999999999999997,0.35,0.1745010997479058,0.6549777806342619
0.5,0.25,0.25,0.17449305415638539,0.6563282345091846
0.6000000000000001,0.3999999999999999,0.0,0.17446371479717343,0.6576288019293509
0.55,0.19999999999999998,0.24999999999999997,0.17445324953579214,0.6563721529524824
0.55,0.3,0.14999999999999997,0.17443648091624975,0.6572994901175852
0.0,0.8,0.19999999999999996,0.1743924611439115,0.6540945149383918
0.35000000000000003,0.24999999999999997,0.3999999999999999,0.1743860172018779,0.6541474619118448
0.30000000000000004,0.3,0.39999999999999997,0.17436953752216047,0.654004076610904
0.45,0.2,0.35000000000000003,0.17435420436074145,0.6550796959068622
0.05,0.7999999999999999,0.15000000000000002,0.17432485531754052,0.6547494659394875
0.55,0.09999999999999999,0.35,0.17428902653673028,0.655129276309749
0.6000000000000001,0.29999999999999993,0.09999999999999998,0.17428147436979113,0.6575155627375728
0.0,0.8500000000000001,0.1499999999999999,0.1742428443117765,0.654212344908215
0.05,0.44999999999999996,0.5,0.17422548325164164,0.6511483066150051
0.6000000000000001,0.24999999999999994,0.14999999999999997,0.1742156179555573,0.6572390448733252
0.4,0.19999999999999998,0.4,0.17421034497920887,0.6542349927465707
0.05,0.85,0.09999999999999998,0.1742101366667536,0.6547759394262139
0.1,0.9,0.0,0.1741585436103346,0.6550180264551236
0.6000000000000001,0.19999999999999996,0.19999999999999996,0.17415783886543312,0.6568831065488979
0.5,0.15000000000000002,0.35,0.17414556249240845,0.6551115253013081
0.6000000000000001,0.3499999999999999,0.04999999999999999,0.1741293815975788,0.6576307912665038
0.25,0.30000000000000004,0.44999999999999996,0.17410013070998087,0.6530244045760876
0.2,0.35000000000000003,0.45,0.17408026104014682,0.6528019048668369
0.65,0.15,0.19999999999999998,0.1740460394884696,0.6568218961749638
0.05,0.8999999999999999,0.050000000000000044,0.17403960718930664,0.6547050884183853
0.65,0.19999999999999998,0.15,0.17403660907751356,0.657182425277436
0.45,0.15000000000000002,0.4,0.1740280773409435,0.6542957440427003
0.5,0.2,0.3,0.1740257935211203,0.6557635688096419
0.30000000000000004,0.24999999999999997,0.44999999999999996,0.17402329190946714,0.653210025035043
0.55,0.15,0.29999999999999993,0.1740079998318323,0.6557955512300224
0.35000000000000003,0.19999999999999998,0.44999999999999996,0.17398648292807767,0.6533339760422596
0.15000000000000002,0.39999999999999997,0.45,0.1739617323883192,0.6525792521316514
0.0,0.5,0.5,0.17392623820501846,0.650754264832804
0.45,0.1,0.45000000000000007,0.17388571421904475,0.6534769022653959
0.45,0.25,0.30000000000000004,0.17385269424643265,0.6556902693868557
0.65,0.24999999999999997,0.1,0.173826137973274,0.6574590961676186
0.6000000000000001,0.04999999999999999,0.3499999999999999,0.17381994981301638,0.6550541405757448
0.6000000000000001,0.09999999999999998,0.29999999999999993,0.17376953651315388,0.6557770350919074
0.6000000000000001,0.14999999999999997,0.24999999999999994,0.17376552841046913,0.6563710817709385
0.65,0.3,0.04999999999999999,0.1737573348805668,0.6575937589902737
0.4,0.15,0.44999999999999996,0.17375604234205427,0.653451806012083
0.7000000000000001,0.14999999999999997,0.14999999999999997,0.17375283574358164,0.6570922930018179
0.7000000000000001,0.09999999999999998,0.19999999999999996,0.17371582054071916,0.656714778020579
0.0,0.9,0.09999999999999998,0.17371434300761537,0.6542486120547711
0.2,0.30000000000000004,0.5,0.17368149723591553,0.6519769420521391
